,roc_l1,roc_l2,roc_l3,roc_l4,sma_l1,sma_l2,sma_l3,sma_l4,Returns%,MaxR
231,8,12,18,33,10,8,10,12,37.179210660813794,
232,8,12,18,33,10,8,10,14,40.1012859537548,
233,8,12,18,33,10,8,10,16,40.584965276361146,
234,8,12,18,33,10,10,8,12,35.717100988376984,
235,8,12,18,33,10,10,8,14,43.23248347967353,
236,8,12,18,33,10,10,8,16,39.07918148965027,
237,8,12,18,33,10,10,10,12,37.284439439199645,
238,8,12,18,33,10,10,10,14,39.949433741784446,
239,8,12,18,33,10,10,10,16,33.59133197944567,
240,8,12,20,25,8,8,8,12,36.918053610960555,
241,8,12,20,25,8,8,8,14,40.56822165383031,
242,8,12,20,25,8,8,8,16,44.73213909043929,
243,8,12,20,25,8,8,10,12,40.60465205094272,
244,8,12,20,25,8,8,10,14,39.809844283923155,
245,8,12,20,25,8,8,10,16,41.64004940917073,
246,8,12,20,25,8,10,8,12,43.196648112849545,
247,8,12,20,25,8,10,8,14,40.49580649247039,
248,8,12,20,25,8,10,8,16,45.34547872570005,
249,8,12,20,25,8,10,10,12,40.273464467372975,
250,8,12,20,25,8,10,10,14,40.496552259948714,
251,8,12,20,25,8,10,10,16,41.818055975488136,
252,8,12,20,25,10,8,8,12,37.12609064588685,
253,8,12,20,25,10,8,8,14,40.16090195794769,
254,8,12,20,25,10,8,8,16,45.547490661878754,
255,8,12,20,25,10,8,10,12,40.273464467372975,
256,8,12,20,25,10,8,10,14,40.71908303559235,
257,8,12,20,25,10,8,10,16,39.70046706631186,
258,8,12,20,25,10,10,8,12,40.95360376339838,
259,8,12,20,25,10,10,8,14,41.554781389722166,
260,8,12,20,25,10,10,8,16,43.57718479962651,
261,8,12,20,25,10,10,10,12,39.57949618669983,
262,8,12,20,25,10,10,10,14,39.89420121837031,
263,8,12,20,25,10,10,10,16,38.842245072511105,
264,8,12,20,27,8,8,8,12,40.57673618654417,
265,8,12,20,27,8,8,8,14,43.10530093522135,
266,8,12,20,27,8,8,8,16,42.69708345783397,
267,8,12,20,27,8,8,10,12,38.91178421279622,
268,8,12,20,27,8,8,10,14,38.28702990766712,
269,8,12,20,27,8,8,10,16,42.980424910806164,
270,8,12,20,27,8,10,8,12,42.449761399657916,
271,8,12,20,27,8,10,8,14,39.067760024623595,
272,8,12,20,27,8,10,8,16,45.07123357793611,
273,8,12,20,27,8,10,10,12,39.31469178063361,
274,8,12,20,27,8,10,10,14,39.23686887854379,
